reviews.text,reviews.rating,sentiment,clean,Predicted Sentiment
IFeel confident purchasing products from Best Buy due to protection coverage,5.0,positive,ifeelconfidentpurchasingproductsfrombestbuyduetoprotectioncoverage,positive
Great tablet for my 3 yr old. Love the profile options and parental controls!,5.0,positive,greattabletformy3yroldlovetheprofileoptionsandparentalcontrols,positive
This tablet is great for small kids because it is well protected and is preloaded with many games.Adults can also use it when required.You have to be careful what mode your in as your child may start trying to buy stuff on you!,4.0,positive,thistabletisgreatforsmallkidsbecauseitiswellprotectedandispreloadedwithmanygamesadultscanalsouseitwhenrequiredyouhavetobecarefulwhatmodeyourinasyourchildmaystarttryingtobuystuffonyou,positive
Great sound and function! ‚ù§Ô∏è Alexa! The color and style of the silver plus looks great with our newly finished basement.,5.0,positive,greatsoundandfunctionùôèalexathecolorandstyleofthesilverpluslooksgreatwithournewlyfinishedbasement,positive
Echo Show is a great addition to any home and we were thrilled to buy one for each of our children's families during this holiday season!,5.0,positive,echoshowisagreatadditiontoanyhomeandwewerethrilledtobuyoneforeachofourchildrensfamiliesduringthisholidayseason,positive
I purchased this for my daughter and when I tell you she was so happy she hugged the box then me and back to the box!,5.0,positive,ipurchasedthisformydaughterandwhenitellyoushewassohappyshehuggedtheboxthenmeandbacktothebox,positive
Can use many differents apps from the Echo Show. Awesome product!,5.0,positive,canusemanydifferentsappsfromtheechoshowawesomeproduct,positive
Bought for my eight year old. She absolutely loves it!,5.0,positive,boughtformyeightyearoldsheabsolutelylovesit,positive
i bought this as a backup. I am currently using the same headphone.,4.0,positive,iboughtthisasabackupiamcurrentlyusingthesameheadphone,positive
Great tablet for destructive toddlers. My son has dropped and thrown it several times and it still works!...,4.0,positive,greattabletfordestructivetoddlersmysonhasdroppedandthrownitseveraltimesanditstillworks,positive
Kids love it. Easy for them to use. Only issue is there is a ton of Ads that pop up.,4.0,positive,kidsloveiteasyforthemtouseonlyissueisthereisatonofadsthatpopup,positive
I love that you and now see your answer on a screen with the Alexa Echo Show!!!,5.0,positive,ilovethatyouandnowseeyouransweronascreenwiththealexaechoshow,positive
"The echo show feels useless after a few hours, especially without the ability to watch YouTube.",3.0,neutral,theechoshowfeelsuselessafterafewhoursespeciallywithouttheabilitytowatchyoutube,positive
"I use the echo show to stream music, video chat, and drop in as a camera from my home. You can even see recipes and other items. Worth the money, got it on sale! I always wait for sales.",5.0,positive,iusetheechoshowtostreammusicvideochatanddropinasacamerafrommyhomeyoucanevenseerecipesandotheritemsworththemoneygotitonsaleialwayswaitforsales,positive
"I had trouble linking to my Joule Cooking App, finally got on the third day. I Love it now, still is learning Voice Recognition though",4.0,positive,ihadtroublelinkingtomyjoulecookingappfinallygotonthethirddayiloveitnowstillislearningvoicerecognitionthough,positive
"Very little set up, Amazon helpful in setting up the functions. Clear pictures and easy to use. Take pictures both ways",5.0,positive,verylittlesetupamazonhelpfulinsettingupthefunctionsclearpicturesandeasytousetakepicturesbothways,positive
"Love, love, love my echo plus! Is great that it has a built in bridge...great way to start a system for your smart home!Love being able to program lights to come on and off from phone...",5.0,positive,lovelovelovemyechoplusisgreatthatithasabuiltinbridgegreatwaytostartasystemforyoursmarthomelovebeingabletoprogramlightstocomeonandofffromphone,positive
"Even though it is a little pricy, I like my new Kindle Voyage. It looks smaller, but it is because it's only the screen - no buttons. It is lightweight. You can scroll and turn pages with touch screen press or with physical small buttons on the side. It is automatically adjusts to different light conditions.",5.0,positive,eventhoughitisalittlepricyilikemynewkindlevoyageitlookssmallerbutitisbecauseitsonlythescreennobuttonsitislightweightyoucanscrollandturnpageswithtouchscreenpressorwithphysicalsmallbuttonsonthesideitisautomaticallyadjuststodifferentlightconditions,positive
Keeps my granddaughter busy. She was showing me how to use it. Now she doesn't want to use mine.,5.0,positive,keepsmygranddaughterbusyshewasshowingmehowtouseitnowshedoesntwanttousemine,positive
Great item and easy to use. Very helpful and entertaining,5.0,positive,greatitemandeasytouseveryhelpfulandentertaining,positive
I own a dot and a first gen echo and the sound from the show is way better than both of my other echoes. The video functions are nice but it is a pain to get it to play videos from my Amazon library. My family enjoys the calendar info and the news briefings that rotate on the screen.,5.0,positive,iownadotandafirstgenechoandthesoundfromtheshowiswaybetterthanbothofmyotherechoesthevideofunctionsarenicebutitisapaintogetittoplayvideosfrommyamazonlibrarymyfamilyenjoysthecalendarinfoandthenewsbriefingsthatrotateonthescreen,positive
"This is great for the beach or by the pool. If you already own an Echo, this is a great addition to the household.",5.0,positive,thisisgreatforthebeachorbythepoolifyoualreadyownanechothisisagreatadditiontothehousehold,positive
Easy set up and very user friendly for my children,5.0,positive,easysetupandveryuserfriendlyformychildren,positive
"This is a perfect upgrade to my kitchen Amazon Echo. The speaker itself is a substantial upgrade over the Echo and Dot. I have it connected to my Nest security cams and it's great to check on my dogs when they are having play time in my fenced backyard. It can be a bit distracting with it's random invitations to ""try"" certain skills, but the distraction is worth it! This product absolutely represents the future that I imagined when I first watched Back to the Future 2 decades ago! The only con's that I can think of is sometimes Alexa doesn't hear me so well (same for the Echo and Dot) and it currently can't differentiate between users like Google Home can. I have had the Google Home too, and would highly recommend any of the Amazon devices over the Google Home.",5.0,positive,thisisaperfectupgradetomykitchenamazonechothespeakeritselfisasubstantialupgradeovertheechoanddotihaveitconnectedtomynestsecuritycamsanditsgreattocheckonmydogswhentheyarehavingplaytimeinmyfencedbackyarditcanbeabitdistractingwithitsrandominvitationstotrycertainskillsbutthedistractionisworthitthisproductabsolutelyrepresentsthefuturethatiimaginedwhenifirstwatchedbacktothefuture2decadesagotheonlyconsthaticanthinkofissometimesalexadoesnthearmesowellsamefortheechoanddotanditcurrentlycantdifferentiatebetweenuserslikegooglehomecanihavehadthegooglehometooandwouldhighlyrecommendanyoftheamazondevicesoverthegooglehome,positive
The thick edge makes it easier to read than the voyage and PW. very fast and responsive. I wish the devise was longer then it would feel more like a real book rather than a CD case,5.0,positive,thethickedgemakesiteasiertoreadthanthevoyageandpwveryfastandresponsiveiwishthedevisewaslongerthenitwouldfeelmorelikearealbookratherthanacdcase,positive
Like the fact that I can see videos and utilize ir with my lighting system.,5.0,positive,likethefactthaticanseevideosandutilizeirwithmylightingsystem,positive
Simply does everything I need. Thank youAnd silk works wonders,5.0,positive,simplydoeseverythingineedthankyouandsilkworkswonders,positive
"I have several versions of Amazon's Echos - the original, and Echo Plus, 2 Taps and 2 Dots. The Show is the best sounding of the bunch and you have the screen as a bonus. I added a battery pack to make it portable and it's perfect for us.",5.0,positive,ihaveseveralversionsofamazonsechostheoriginalandechoplus2tapsand2dotstheshowisthebestsoundingofthebunchandyouhavethescreenasabonusiaddedabatterypacktomakeitportableanditsperfectforus,positive
"Bought 2 for each of my children ( 10 & 15) and they love them. I was a little worried about them adapting to a new operating system, no problems there. The sound and playback images are just fine. They take them everywhere, not like leaving their other tablets at home, I'm thinking about buying me one. Very kid durable",5.0,positive,bought2foreachofmychildren1015andtheylovethemiwasalittleworriedaboutthemadaptingtoanewoperatingsystemnoproblemstherethesoundandplaybackimagesarejustfinetheytakethemeverywherenotlikeleavingtheirothertabletsathomeimthinkingaboutbuyingmeoneverykiddurable,positive
"Got this for my mother who's eye site has been failing to the point of not being able to dial the phone or write down appointments. She can now video chat with members of the family. Send emails, check her appointments, place phone calls just by requesting it. It has helped her so much.",5.0,positive,gotthisformymotherwhoseyesitehasbeenfailingtothepointofnotbeingabletodialthephoneorwritedownappointmentsshecannowvideochatwithmembersofthefamilysendemailscheckherappointmentsplacephonecallsjustbyrequestingitithashelpedhersomuch,positive
I bought this device to use with children in my therapy practice. It is taking me awhile to figure out how to set it up and organize it. IT 'took over' and set up things with Amazon I did not approve such as charging my account and registering me with Prime before I could figure out the settings. The picture quality for the screen is beautiful but the camera photos are very pixelated.,4.0,positive,iboughtthisdevicetousewithchildreninmytherapypracticeitistakingmeawhiletofigureouthowtosetitupandorganizeitittookoverandsetupthingswithamazonididnotapprovesuchaschargingmyaccountandregisteringmewithprimebeforeicouldfigureoutthesettingsthepicturequalityforthescreenisbeautifulbutthecameraphotosareverypixelated,positive
I love the Alexa system of assistance. This version is great but the issue is that people can very easily drop in on video call and you won‚Äôt get to have to the option to pick up. You need to tweak the settings to make sure you keep it private. I installed a screen protector that covers the camera when not in use.,4.0,positive,ilovethealexasystemofassistancethisversionisgreatbuttheissueisthatpeoplecanveryeasilydropinonvideocallandyouwonäôtgettohavetotheoptiontopickupyouneedtotweakthesettingstomakesureyoukeepitprivateiinstalledascreenprotectorthatcoversthecamerawhennotinuse,positive
"Decent little tablet if you are not a game player. Tablet shuts down and I cant get it back on when I play games for long periods of time. It's not my ipad, that's for sure.",3.0,neutral,decentlittletabletifyouarenotagameplayertabletshutsdownandicantgetitbackonwheniplaygamesforlongperiodsoftimeitsnotmyipadthatsforsure,positive
Bought it for the grandkids for Christmas. Like the parental controls!,5.0,positive,boughtitforthegrandkidsforchristmasliketheparentalcontrols,positive
This was the perfect gift for grandkids. I bought one in pink and one in green so each grandchild would have their own color. Lots of games come with the tablet and additional games and videos can be added.,5.0,positive,thiswastheperfectgiftforgrandkidsiboughtoneinpinkandoneingreensoeachgrandchildwouldhavetheirowncolorlotsofgamescomewiththetabletandadditionalgamesandvideoscanbeadded,positive
